地市,A级历时一个月,A级历时一季度,A级历时半年,A级总数,B级历时一个月,B级历时一季度,B级历时半年,B级总数,C级历时一个月,C级历时一季度,C级历时半年,C级总数
佛山,1,3,0,4,1,1,0,2,16,2,0,18
深圳,0,0,0,0,0,0,1,1,7,2,0,9
东莞,3,2,0,5,0,0,0,0,3,0,0,3
汕头,0,0,0,0,0,0,0,0,3,0,0,3
潮州,0,0,0,0,0,0,0,0,1,0,0,1
河源,0,0,0,0,0,0,0,0,3,0,0,3
广州,0,0,0,0,1,0,0,1,5,0,0,5
肇庆,0,0,0,0,0,0,0,0,2,0,0,2
云浮,0,0,0,0,0,0,0,0,2,0,0,2
汕尾,0,0,0,0,0,0,0,0,1,0,1,2
韶关,0,0,0,0,0,0,0,0,2,0,0,2
清远,0,0,0,0,0,0,0,0,2,0,0,2
江门,0,0,0,0,0,0,0,0,3,0,0,3
中山,0,0,0,0,2,0,0,2,1,0,1,2
湛江,0,0,0,0,0,0,0,0,1,0,0,1
茂名,0,0,0,0,0,0,0,0,2,0,0,2
阳江,0,0,0,0,0,0,0,0,2,0,0,2
珠海,0,0,0,0,0,0,0,0,2,0,0,2
梅州,0,0,0,0,0,0,0,0,3,0,0,3
揭阳,0,0,0,0,0,0,0,0,2,0,0,2
惠州,0,0,0,0,0,0,0,0,3,0,0,3
合计,4,5,0,9,4,1,1,6,66,4,2,72
